Medicare Severity Diagnostic-Related Group code,Medicare Severity Diagnostic-Related Group label,# of records with this Medicare Severity Diagnositic-Related Group code in 2007,# of people with this Medicare Severity Diagnotic-Related Group code in 2007,# of records with this Medicare Severity Diagnositic-Related Group code in 2008,# of people with this Medicare Severity Diagnotic-Related Group code in 2008,# of records with this Medicare Severity Diagnositic-Related Group code in 2009,# of people with this Medicare Severity Diagnotic-Related Group code in 2009,# of records with this Medicare Severity Diagnositic-Related Group code in 2010,# of people with this Medicare Severity Diagnotic-Related Group code in 2010,# of records with this Medicare Severity Diagnositic-Related Group code in 2011,# of people with this Medicare Severity Diagnotic-Related Group code in 2011,# of records with this Medicare Severity Diagnositic-Related Group code in 2012,# of people with this Medicare Severity Diagnotic-Related Group code in 2012,# of records with this Medicare Severity Diagnositic-Related Group code in 2013,# of people with this Medicare Severity Diagnotic-Related Group code in 2013,# of records with this Medicare Severity Diagnositic-Related Group code in 2014,# of people with this Medicare Severity Diagnotic-Related Group code in 2014
696,Kidney and Urinary Tract Signs and Symptoms without MCC,3680,3466,13171,12231,13087,12144,13715,12802,13506,12646,12536,11764,11189,10551,10926,10297
697,URETHRAL STRICTURE,188,184,612,600,615,598,638,619,628,618,643,624,526,516,488,475
698,Other Kidney and Urinary Tract Diagnoses with MCC,7272,6846,30917,27257,33753,29431,35300,30739,30801,27129,32981,28923,34335,30138,38271,33301
699,Other Kidney and Urinary Tract Diagnoses with CC,6654,6435,25504,23858,24914,23140,27139,25002,34433,31165,34098,30696,32475,29395,31809,28919
700,Other Kidney and Urinary Tract Diagnoses without CC/MCC,3970,3783,13557,12708,11816,10991,11212,10563,10713,10003,9785,9222,8155,7698,7759,7367
707,Major Male Pelvic Procedures with CC/MCC,1471,1471,5623,5620,5371,5368,5136,5135,5267,5265,4433,4432,4011,4010,3981,3980
708,Major Male Pelvic Procedures without CC/MCC,4536,4535,17806,17796,16941,16936,16268,16267,17644,17643,14014,14014,13734,13733,13038,13034
709,Penis Procedures with CC/MCC,212,208,775,757,825,805,834,813,752,735,686,664,601,581,527,509
710,Penis Procedures without CC/MCC,459,457,1604,1591,1477,1465,1389,1368,1118,1111,784,778,632,623,430,429
711,Testes Procedures with CC/MCC,205,203,740,739,724,718,708,705,715,711,613,608,513,511,488,488
712,Testes Procedures without CC/MCC,129,129,484,482,410,409,380,378,362,362,272,272,217,217,176,175
713,Transurethral Prostatectomy with CC/MCC,2796,2786,10061,9980,9397,9320,8787,8730,7609,7532,6347,6301,5143,5094,4540,4511
714,Transurethral Prostatectomy without CC/MCC,6669,6647,24419,24246,22049,21877,19302,19176,14657,14569,10102,10035,6871,6825,5076,5053
715,"Other Male Reproductive System O.R. Procedures for
Malignancy with CC/MCC",162,160,479,472,521,507,486,476,494,486,410,405,384,379,401,400
716,"Other Male Reproductive System O.R. Procedures for
Malignancy without CC/MCC",288,264,916,794,696,611,582,500,369,331,228,221,166,161,121,119
717,"Other Male Reproductive System O.R. Procedures Except
Malignancy with CC/MCC",224,224,739,736,755,749,859,851,792,788,785,779,746,739,760,756
718,"Other Male Reproductive System O.R. Procedures Except
Malignancy without CC/MCC",149,149,486,485,449,447,465,465,366,364,309,309,233,231,211,211
722,"Malignancy, Male Reproductive System with MCC",390,370,1426,1342,1291,1198,1224,1154,887,820,773,728,755,715,789,733
723,"Malignancy, Male Reproductive System with CC",855,787,2999,2700,2677,2383,2490,2246,2690,2415,2448,2215,2206,2030,2056,1900
724,"Malignancy, Male Reproductive System without CC/MCC",579,537,1693,1516,1518,1352,1313,1176,1203,1075,1013,911,834,740,786,694
725,Benign Prostatic Hypertrophy with MCC,317,311,1205,1174,1605,1581,1599,1580,759,747,724,712,725,708,672,660
726,Benign Prostatic Hypertrophy without MCC,1221,1174,4216,3984,4056,3866,4491,4269,4964,4748,4530,4349,3927,3773,3624,3499
727,Inflammation of the Male Reproductive System with MCC,457,446,2022,1931,2437,2364,2456,2369,1744,1678,1773,1710,1602,1537,1587,1531
728,Inflammation of the Male Reproductive System without MCC,1607,1531,6110,5773,5948,5613,6055,5727,6852,6494,6514,6148,5678,5386,5806,5520
729,Other Male Reproductive System Diagnoses with CC/MCC,259,248,972,923,1017,969,1053,993,1012,964,1027,969,1037,978,928,884
730,Other Male Reproductive System Diagnoses without CC/MCC,144,139,502,472,428,416,417,391,439,407,364,346,292,276,245,230
734,"Pelvic Evisceration, Radical Hysterectomy and Radical
Vulvectomy with CC/MCC",422,422,1601,1600,1523,1520,1550,1547,1500,1498,1451,1444,1520,1515,1475,1471
735,"Pelvic Evisceration, Radical Hysterectomy and Radical
Vulvectomy without CC/MCC",262,262,1094,1091,1121,1120,1144,1143,1139,1135,1076,1074,1033,1031,907,905
736,"Uterine and Adnexa Procedures for Ovarian or Adnexal
Malignancy with MCC",235,235,1019,1018,1017,1015,972,972,799,799,808,808,747,746,698,698
737,"Uterine and Adnexa Procedures for Ovarian or Adnexal
Malignancy with CC",782,782,3218,3206,3116,3100,2993,2983,3069,3055,2939,2929,2801,2790,2748,2739
738,"Uterine and Adnexa Procedures for Ovarian or Adnexal
Malignancy without CC/MCC",187,186,741,736,760,755,697,694,704,704,624,624,602,601,631,630
739,"Uterine, Adnexa Procedures for Nonovarian/Adnexal
Malignancy with MCC",281,281,1093,1092,1069,1068,1036,1034,802,799,789,789,668,666,586,585
740,"Uterine, Adnexa Procedures for Nonovarian/Adnexal
Malignancy with CC",1145,1145,4292,4290,4277,4270,4093,4088,4166,4160,3763,3755,3383,3372,2918,2915
741,"Uterine, Adnexa Procedures for Nonovarian/Adnexal
Malignancy without CC/MCC",1473,1471,5535,5521,5542,5532,5283,5275,4714,4711,4184,4181,3460,3457,2842,2841
742,"Uterine and Adnexa Procedures for Nonmalignancy with
CC/MCC",2752,2751,10722,10704,10744,10719,10198,10174,9504,9482,8471,8446,7176,7154,6103,6090
743,"Uterine and Adnexa Procedures for Nonmalignancy without
CC/MCC",7359,7358,29075,29030,27536,27493,26433,26394,23064,23041,18511,18490,15089,15068,11280,11264
744,"D&C, Conization, Laparoscopy and Tubal Interruption with
CC/MCC",393,388,1714,1673,1572,1530,1668,1617,1585,1536,1601,1556,1435,1395,1355,1316
745,"D&C, Conization, Laparoscopy and Tubal Interruption without
CC/MCC",379,359,1340,1267,1196,1135,1063,1014,970,934,783,742,572,552,486,475
746,"Vagina, Cervix and Vulva Procedures with CC/MCC",689,688,2627,2611,2510,2480,2481,2459,2206,2183,2009,1980,1719,1705,1526,1511
747,"Vagina, Cervix and Vulva Procedures without CC/MCC",2062,2059,7837,7800,7090,7049,6627,6595,5397,5372,3867,3850,3136,3119,2149,2138
748,"FEMALE REPRODUCTIVE SYSTEM RECONSTRUCTIVE
PROCEDURES",4792,4786,18521,18427,16877,16771,15467,15401,12181,12142,7854,7838,5597,5578,3518,3504
749,"Other Female Reproductive System O.R. Procedures with
CC/MCC",281,281,1008,1001,1054,1045,1017,1010,1015,1008,1066,1060,1024,1015,934,929
750,"Other Female Reproductive System O.R. Procedures without
CC/MCC",112,112,371,368,357,353,305,303,325,324,311,311,263,262,243,241
754,"Malignancy, Female Reproductive System with MCC",423,405,1810,1674,1827,1681,1866,1722,1545,1443,1522,1424,1449,1355,1514,1415
755,"Malignancy, Female Reproductive System with CC",1090,1001,4009,3570,3872,3395,3955,3510,4129,3610,3976,3532,3712,3312,3772,3353
756,"Malignancy, Female Reproductive System without CC/MCC",530,481,1725,1528,1512,1365,1337,1214,1228,1135,1070,988,886,824,756,702
757,"Infections, Female Reproductive System with MCC",503,496,1974,1922,1947,1878,2014,1959,1640,1597,1519,1476,1519,1486,1344,1306
758,"Infections, Female Reproductive System with CC",517,500,1766,1722,1920,1867,2058,1992,2449,2360,2229,2155,1988,1923,1861,1814
759,"Infections, Female Reproductive System without CC/MCC",330,319,1236,1197,1176,1129,1170,1119,1098,1068,983,957,835,798,738,724
760,"Menstrual and Other Female Reproductive System Disorders
with CC/MCC",607,583,2264,2148,2458,2367,2526,2425,2505,2411,2359,2265,2136,2027,2063,1983
761,"Menstrual and Other Female Reproductive System Disorders
without CC/MCC",554,537,1779,1723,1611,1536,1539,1484,1393,1358,1136,1104,919,883,856,831
765,Cesarean Section with CC/MCC,790,790,3193,3191,3528,3524,3647,3641,3838,3835,3995,3993,3478,3474,3401,3395
766,Cesarean Section without CC/MCC,704,704,2827,2823,2817,2813,2867,2865,2906,2905,2890,2888,2632,2632,2497,2495
767,Vaginal Delivery with Sterilization and/or D&C,36,36,138,138,299,299,436,436,244,244,158,158,151,151,147,147
768,"Vaginal Delivery with O.R. Procedure Except Sterilization
and/or D&C",.,.,.,.,.,.,.,.,.,.,12,12,.,.,11,11
769,Postpartum and Postabortion Diagnoses with O.R. Procedure,22,22,100,100,114,109,100,98,120,116,96,92,103,99,88,84
770,"Abortion with D&C, Aspiration Curettage or Hysterotomy",57,57,210,209,183,181,180,179,170,168,159,159,133,132,102,102
774,Vaginal Delivery with Complicating Diagnoses,418,418,1616,1615,1726,1720,1755,1748,1953,1947,2055,2052,1901,1900,1875,1871
775,Vaginal Delivery without Complicating Diagnoses,1504,1503,5952,5939,5940,5919,5967,5955,6493,6479,6636,6618,5815,5800,5625,5618
776,"Postpartum and Postabortion Diagnoses without O.R.
Procedure",152,148,665,618,718,660,752,706,835,756,789,731,596,546,657,615
777,ECTOPIC PREGNANCY,54,52,217,210,194,187,178,175,186,184,209,205,112,110,102,100
778,THREATENED ABORTION,112,100,451,398,454,398,449,380,478,430,487,430,383,342,311,284
779,Abortion without D&C,35,35,137,132,139,139,141,139,143,140,121,120,142,137,111,108
780,FALSE LABOR,.,.,58,55,41,39,43,43,41,41,44,43,41,40,27,27
781,Other Antepartum Diagnoses with Medical Complications,895,723,3431,2353,3864,2553,3648,2477,3965,2606,3954,2619,2855,1946,2525,1817
782,Other Antepartum Diagnoses without Medical Complications,59,56,214,195,211,194,187,179,251,243,195,184,172,167,138,129
789,"NEONATES, DIED OR TRANSFERRED TO ANOTHER
ACUTE CARE FACILITY",100,86,379,334,345,294,357,307,377,315,333,291,262,235,254,224
790,"EXTREME IMMATURITY OR RESPIRATORY DISTRESS
SYNDROME, NEONATE",19,18,74,73,77,74,65,63,67,67,67,66,74,71,56,56
791,Prematurity with Major Problems,0,0,0,0,.,.,.,.,0,0,.,.,.,.,.,.
792,Prematurity without Major Problems,0,0,.,.,0,0,0,0,.,.,.,.,0,0,0,0
793,Full Term Neonate with Major Problems,55,55,216,210,185,181,234,229,213,206,207,202,148,148,179,173
794,Neonate with Other Significant Problems,15,15,38,38,28,28,36,36,32,32,33,33,31,31,20,20
795,NORMAL NEWBORN,.,.,.,.,.,.,.,.,0,0,0,0,0,0,.,.
799,Splenectomy with MCC,148,148,601,601,603,601,526,526,484,484,449,448,474,474,409,409
800,Splenectomy with CC,181,181,647,647,625,625,555,555,583,583,541,541,470,470,425,425
801,Splenectomy without CC/MCC,85,85,399,398,358,358,378,378,350,350,318,318,291,291,228,228
802,"Other O.R. Procedures of the Blood and Blood-Forming
Organs with MCC",230,230,1046,1038,1063,1061,1056,1052,900,898,817,816,709,707,725,722
803,"Other O.R. Procedures of the Blood and Blood-Forming
Organs with CC",238,238,1047,1042,936,931,1027,1020,1105,1103,1021,1016,966,963,924,919
804,"Other O.R. Procedures of the Blood and Blood-Forming
Organs without CC/MCC",218,217,777,771,717,715,607,604,667,662,569,562,547,545,482,482
808,"Major Hematologic/Immunologic Diagnoses Except Sickle
Cell Crisis and Coagulation with MCC",1929,1868,8379,7867,9451,8853,9402,8735,9172,8584,8555,8046,7926,7519,7663,7247
809,"Major Hematologic/Immunologic Diagnoses Except Sickle
Cell Crisis and Coagulation with CC",3526,3294,13716,12406,13395,12075,13338,12036,16052,14486,19803,17483,17820,15868,16956,15143
810,"Major Hematologic/Immunologic Diagnoses Except Sickle
Cell Crisis and Coagulation without CC/MCC",705,656,2656,2373,2399,2149,2233,2037,2606,2381,3421,3169,2844,2610,2482,2308
811,Red Blood Cell Disorders with MCC,7774,7372,33999,30592,40695,36748,41390,37165,36188,32402,35370,31421,33207,29737,31817,28447
812,Red Blood Cell Disorders without MCC,26029,22925,103699,81923,105152,82443,108194,84502,114224,89353,104139,80843,90890,71778,82671,65533
813,COAGULATION DISORDERS,3880,3562,13897,12257,12480,10815,11664,10088,11069,9463,10458,9095,9452,8253,8336,7218
814,Reticuloendothelial and Immunity Disorders with MCC,622,605,2417,2341,2425,2343,2364,2277,1923,1852,1884,1828,1792,1724,1769,1708
815,Reticuloendothelial and Immunity Disorders with CC,1134,1102,4191,4010,3976,3814,3916,3767,4220,4051,4057,3898,3617,3487,3497,3363
816,Reticuloendothelial and Immunity Disorders without CC/MCC,762,722,2633,2479,2348,2208,2253,2140,2104,1995,1948,1851,1660,1590,1583,1489
820,"Lymphoma and Leukemia with Major O.R. Procedure with
MCC",337,337,1415,1411,1358,1352,1249,1246,1281,1272,1128,1128,1037,1032,1054,1048
821,Lymphoma and Leukemia with Major O.R. Procedure with CC,569,569,2158,2151,1992,1978,1978,1973,1901,1895,1673,1664,1733,1724,1494,1490
822,"Lymphoma and Leukemia with Major O.R. Procedure without
CC/MCC",522,521,1914,1906,1769,1757,1646,1634,1556,1549,1521,1508,1313,1305,1317,1306
823,"Lymphoma and Nonacute Leukemia with Other O.R.
Procedure with MCC",602,600,2384,2379,2368,2347,2226,2212,1829,1811,1725,1711,1710,1699,1654,1641
824,"Lymphoma and Nonacute Leukemia with Other O.R.
Procedure with CC",778,775,2686,2675,2462,2442,2501,2481,2723,2695,2594,2574,2271,2252,2245,2229
825,"Lymphoma and Nonacute Leukemia with Other O.R.
Procedure without CC/MCC",401,401,1580,1572,1421,1414,1284,1279,1126,1122,1064,1054,835,835,818,815
826,"Myeloproliferative Disorders or Poorly Differentiated
Neoplasms with Major O.R. Procedure with MCC",164,164,674,673,680,677,700,699,616,614,619,617,689,689,659,657
827,"Myeloproliferative Disorders or Poorly Differentiated
Neoplasms with Major O.R. Procedure with CC",375,375,1305,1300,1437,1429,1382,1375,1447,1440,1402,1398,1341,1338,1336,1330
828,"Myeloproliferative Disorders or Poorly Differentiated
Neoplasms with Major O.R. Procedure without CC/MCC",210,209,785,779,783,779,888,883,943,938,909,906,865,864,818,816
829,"Myeloproliferative Disorders or Poorly Differentiated
Neoplasms with Other O.R. Procedure with CC/MCC",393,388,1337,1328,1502,1490,1499,1476,1360,1345,1257,1244,1203,1193,1117,1103
830,"Myeloproliferative Disorders or Poorly Differentiated
Neoplasms with Other O.R. Procedure without CC/MCC",112,112,409,407,413,412,410,409,379,378,350,348,308,307,297,294
834,Acute Leukemia without Major O.R. Procedure with MCC,1103,1032,4439,3940,4460,3964,4280,3805,4000,3609,4034,3630,3905,3498,3972,3547
835,Acute Leukemia without Major O.R. Procedure with CC,730,672,2807,2493,2619,2329,2763,2460,3061,2700,2954,2633,2672,2412,2645,2389
836,"Acute Leukemia without Major O.R. Procedure without
CC/MCC",385,350,1547,1397,1420,1285,1299,1154,1177,1086,1203,1074,1016,936,951,869
837,"Chemotherapy with Acute Leukemia as Secondary Diagnosis
or with High Dose Chemotherapy Agent with MCC",312,292,1301,1120,1460,1255,1587,1335,1657,1348,1783,1411,1887,1561,1895,1513
838,"Chemotherapy with Acute Leukemia as Secondary Diagnosis
with CC or High Dose Chemotherapy Agent",379,320,1573,1153,1566,1113,1533,1107,1644,1154,1515,1061,1335,989,1221,913
839,"Chemotherapy with Acute Leukemia as Secondary Diagnosis
without CC/MCC",344,279,1530,940,1377,891,1357,863,1475,905,1298,800,1284,807,1105,718
840,Lymphoma and Nonacute Leukemia with MCC,2862,2674,11037,9892,10839,9772,10200,9250,8654,7882,8462,7724,8172,7429,7867,7167
841,Lymphoma and Nonacute Leukemia with CC,3035,2794,10921,9576,9956,8812,10116,8905,11315,10022,10720,9603,9640,8686,8946,8034
842,Lymphoma and Nonacute Leukemia without CC/MCC,1851,1700,6419,5620,5715,4985,5360,4741,5082,4453,4418,3900,3780,3406,3221,2914
843,"Other Myeloproliferative Disorders or Poorly Differentiated
Neoplasm Diagnoses with MCC",521,510,2180,2127,2133,2074,2062,2000,1869,1821,1904,1847,1810,1752,1730,1690
844,"Other Myeloproliferative Disorders or Poorly Differentiated
Neoplasm Diagnoses with CC",805,774,3278,3112,3219,3082,3246,3114,3540,3410,3283,3166,3034,2896,2815,2717
845,"Other Myeloproliferative Disorders or Poorly Differentiated
Neoplasm Diagnoses without CC/MCC",509,472,1763,1638,1794,1679,1654,1556,1565,1442,1356,1284,1137,1070,1065,1005
846,"Chemotherapy without Acute Leukemia as Secondary
Diagnosis with MCC",680,591,3112,2422,3207,2514,3007,2392,2859,2181,2842,2172,2753,2089,2966,2227
847,"Chemotherapy without Acute Leukemia as Secondary
Diagnosis with CC",5906,3522,23217,10745,22161,10457,21077,9867,20578,9675,19808,9136,17764,8166,15698,7182
848,"Chemotherapy without Acute Leukemia as Secondary
Diagnosis without CC/MCC",412,299,1406,881,1259,738,1093,674,1128,673,951,563,836,514,543,372
849,RADIOTHERAPY,409,350,1405,1196,1346,1100,1054,876,929,774,930,740,755,592,601,497
853,"Infectious and Parasitic Diseases with O.R. Procedure with
MCC",9572,9409,41206,39655,42752,41066,45574,43816,47217,45380,49762,47883,51852,49938,57557,55375
854,"Infectious and Parasitic Diseases with O.R. Procedure with
CC",1492,1488,5638,5601,5513,5480,6495,6463,9660,9568,10303,10201,11219,11097,13140,12988
855,"Infectious and Parasitic Diseases with O.R. Procedure without
CC/MCC",78,77,332,332,348,348,334,333,348,348,321,318,287,287,309,308
856,"Postoperative or Posttraumatic Infections with O.R. Procedure
with MCC",1662,1630,6392,6194,6969,6718,6803,6559,6468,6239,6372,6149,6174,5960,6172,5981
857,"Postoperative or Posttraumatic Infections with O.R. Procedure
with CC",2375,2335,8928,8611,9162,8874,9046,8727,9533,9189,9263,8941,8644,8333,8129,7889
858,"Postoperative or Posttraumatic Infections with O.R. Procedure
without CC/MCC",709,695,2503,2465,2286,2242,2085,2048,2054,2025,1906,1874,1626,1604,1387,1376
862,Postoperative and Posttraumatic Infections with MCC,3010,2874,12197,11459,13042,12273,13064,12221,12691,11921,12241,11496,12133,11403,12125,11420
863,Postoperative and Posttraumatic Infections without MCC,6620,6210,24821,22874,24186,22284,24153,22273,23559,21903,22597,21009,20003,18583,18249,17125
864,Fever of Unknown Origin,5105,4909,19964,19031,20210,19315,21063,20139,21000,20084,19606,18787,16427,15781,14903,14376
865,Viral Illness with MCC,697,685,3134,3072,3473,3389,2594,2553,2398,2354,2947,2854,3014,2952,3612,3554
866,Viral Illness without MCC,2155,2123,9454,9252,7749,7616,6489,6389,7698,7593,7407,7270,6916,6828,6553,6442
867,Other Infectious and Parasitic Diseases Diagnoses with MCC,1964,1856,7826,7167,7799,7189,7330,6790,6867,6369,6874,6383,6190,5757,6158,5742
868,Other Infectious and Parasitic Diseases Diagnoses with CC,1448,1371,5122,4782,4712,4396,4384,4080,4992,4645,4424,4166,4002,3779,3798,3615
869,"Other Infectious and Parasitic Diseases Diagnoses without
CC/MCC",1103,1024,3833,3453,3522,3198,2967,2744,2939,2707,2493,2309,2167,2021,1932,1807
870,Septicemia with Mechanical Ventilation 96+ Hours,5925,5742,25931,24218,27369,25413,29243,27122,31732,29350,32415,29897,32467,30159,33044,30722
871,"Septicemia without Mechanical Ventilation 96+ Hours with
MCC",66458,62198,282191,250508,298488,264939,328166,289916,341420,302115,369260,326584,397117,351183,440801,387791
872,"Septicemia without Mechanical Ventilation 96+ Hours without
MCC",25866,24197,95848,87876,91833,84141,104226,95804,136640,125050,142187,130667,141405,130425,153703,141517
876,O.R. Procedure with Principal Diagnoses of Mental Illness,373,368,1269,1253,1207,1202,1174,1161,1134,1122,1072,1059,792,785,704,697
880,Acute Adjustment Reaction and Psychosocial Dysfunction,3997,3806,14542,13731,13869,13142,13522,12832,12567,11972,12541,11868,9639,9196,9086,8650
881,DEPRESSIVE NEUROSES,6349,6023,23456,21053,22484,20349,22916,20751,23481,21199,22518,20377,12674,11810,11676,10998
882,NEUROSES EXCEPT DEPRESSIVE,1659,1583,7050,6320,7185,6442,7152,6409,7579,6856,7642,6934,4642,4251,4446,4133
883,Disorders of Personality and Impulse Control,842,776,3331,2813,3277,2754,3134,2609,3124,2625,2982,2477,2156,1801,2206,1865
884,Organic Disturbances and Mental Retardation,20466,18176,68755,57545,66859,56244,68377,57586,66469,56225,67273,56711,61314,52027,60648,51652
885,PSYCHOSES,108789,86570,425733,256493,428930,257392,439439,263029,446210,267474,439249,263918,280562,186067,266678,177897
886,Behavioral and Developmental Disorders,852,805,3344,2949,3441,3062,3488,3103,3546,3189,3010,2674,2496,2236,2443,2166
887,OTHER MENTAL DISORDER DIAGNOSES,517,485,1818,1637,1562,1420,1582,1433,1798,1636,1705,1552,1479,1329,1256,1145
894,"Alcohol/Drug Abuse or Dependence, Left Against Medical
Advice",1394,1268,5627,4656,6052,4903,6087,4934,6689,5401,6738,5575,0,0,0,0
895,"Alcohol/Drug Abuse or Dependence with Rehabilitation
Therapy",3253,3006,13259,10704,13087,10791,13338,11132,13774,11344,14311,11562,0,0,0,0
896,"Alcohol/Drug Abuse or Dependence without Rehabilitation
Therapy with MCC",2079,2018,8575,8058,9811,9271,9839,9280,8776,8257,9101,8481,0,0,0,0
897,"Alcohol/Drug Abuse or Dependence without Rehabilitation
Therapy without MCC",14804,12891,57314,43370,57955,43441,60022,44525,63071,46601,63645,47385,0,0,0,0
901,Wound Debridements for Injuries with MCC,346,343,1311,1286,1358,1342,1161,1147,1152,1133,1060,1048,1097,1072,974,963
902,Wound Debridements for Injuries with CC,509,506,1916,1895,1816,1791,1705,1686,1859,1835,1854,1828,1680,1662,1605,1575
903,Wound Debridements for Injuries without CC/MCC,314,313,1032,1020,982,976,802,793,745,743,779,775,623,619,591,583
904,Skin Grafts for Injuries with CC/MCC,358,353,1651,1600,1980,1915,2079,2006,2204,2124,2053,2005,1951,1881,1869,1781
905,Skin Grafts for Injuries without CC/MCC,187,185,824,807,783,762,873,852,870,848,738,726,704,692,597,584
906,HAND PROCEDURES FOR INJURIES,180,179,689,686,717,715,792,788,723,719,766,765,612,611,569,569
907,Other O.R. Procedures for Injuries with MCC,2186,2167,9217,9022,9400,9206,9301,9074,9058,8868,9058,8876,8619,8416,8734,8553
908,Other O.R. Procedures for Injuries with CC,2103,2088,8377,8254,8347,8230,9104,8982,9651,9487,9310,9179,8692,8576,8405,8275
909,Other O.R. Procedures for Injuries without CC/MCC,1262,1260,4887,4850,4744,4694,4743,4694,4760,4722,4390,4353,3990,3957,3488,3461
913,Traumatic Injury with MCC,735,678,2346,2160,2311,2139,2379,2214,1963,1814,1876,1736,1640,1518,1733,1581
914,Traumatic Injury without MCC,3876,3588,12612,11420,11690,10638,11332,10462,11121,10212,10140,9414,8153,7607,7803,7268
915,Allergic Reactions with MCC,328,323,1433,1390,1935,1869,2015,1961,1820,1767,2031,1973,1820,1767,1888,1830
916,Allergic Reactions without MCC,1391,1358,5385,5113,5543,5302,5975,5754,6462,6188,6052,5794,5185,4967,4584,4383
917,Poisoning and Toxic Effects of Drugs with MCC,4690,4590,20612,19640,23359,22197,25418,24082,25631,24257,27063,25600,17082,16551,17231,16690
918,Poisoning and Toxic Effects of Drugs without MCC,9198,8908,36122,33810,34483,32298,36366,34044,38997,36432,36287,33963,20874,20165,17776,17194
919,Complications of Treatment with MCC,3565,3440,13680,12899,14475,13578,14258,13356,13897,12910,14387,13362,14074,13127,14581,13628
920,Complications of Treatment with CC,4095,3999,15424,14903,15375,14857,15868,15226,17179,16549,16787,16145,15613,15033,15244,14676
921,Complications of Treatment without CC/MCC,2523,2464,9198,8921,8477,8211,8258,7978,7736,7496,7031,6830,5937,5752,5214,5089
922,"Other Injury, Poisoning and Toxic Effect Diagnoses with MCC",334,327,1494,1471,1623,1585,1839,1793,1456,1432,1298,1277,1127,1113,1150,1124
923,"Other Injury, Poisoning and Toxic Effect Diagnoses without
MCC",1011,983,3967,3807,3604,3448,3954,3820,4171,4025,3307,3214,2464,2378,2326,2262
927,"Extensive Burns or Full Thickness Burns with Mechanical
Ventilation 96+ Hours with Skin Graft",38,38,169,167,191,188,173,170,184,180,168,164,151,151,159,156
928,"Full Thickness Burn with Skin Graft or Inhalation Injury with
CC/MCC",205,198,926,894,922,885,1017,978,1031,1001,977,947,939,908,987,942
929,"Full Thickness Burn with Skin Graft or Inhalation Injury without
CC/MCC",103,102,420,391,350,340,438,414,413,398,346,337,315,310,329,320
933,"Extensive Burns or Full Thickness Burns with Mechanical
Ventilation 96+ Hours without Skin Graft",54,53,188,180,157,152,162,161,157,156,152,152,134,132,122,122
934,Full Thickness Burn without Skin Graft or Inhalation Injury,218,205,884,807,791,715,805,744,776,709,713,661,597,565,635,578
935,NON-EXTENSIVE BURNS,655,595,2512,2301,2542,2328,2584,2379,2659,2455,2529,2348,2208,2052,2098,1932
939,"O.R. Procedure with Diagnoses of Other Contact with Health
Services with MCC",807,800,3083,3045,2940,2914,2685,2667,2575,2557,2360,2343,2193,2168,2109,2092
940,"O.R. Procedure with Diagnoses of Other Contact with Health
Services with CC",864,862,3436,3411,3435,3415,3271,3256,3457,3428,3224,3199,2905,2894,2646,2627
941,"O.R. Procedure with Diagnoses of Other Contact with Health
Services without CC/MCC",527,524,1886,1877,1757,1753,1469,1463,1411,1405,1246,1239,1111,1106,933,931
945,Rehabilitation with CC/MCC,132570,121331,503250,431968,539275,458377,592596,497281,659805,548791,682456,567006,680933,565293,708438,583843
946,Rehabilitation without CC/MCC,66970,63667,244964,223620,267748,242510,299447,269935,313727,282197,323508,291323,321393,290448,325379,293631
947,Signs and Symptoms w MCC,6651,6348,25972,24198,26599,24842,27589,25895,23572,21875,23736,22147,21118,19736,20604,19335
948,Signs and Symptoms without MCC,29498,27564,108584,98267,105398,95602,105177,95839,106452,97193,98977,90949,81833,75655,75043,69468
949,Aftercare with CC/MCC,9501,8909,31358,28456,29509,26702,30167,27196,30669,27615,28896,26130,27737,25239,27204,24723
950,Aftercare without CC/MCC,6283,5993,21512,20141,22041,20543,22802,21191,21817,20242,20718,19413,19579,18331,19159,17986
951,OTHER FACTORS INFLUENCING HEALTH STATUS,8165,7479,27463,24274,27777,24773,28700,25431,30208,26787,29686,26568,28768,25698,29523,26576
955,CRANIOTOMY FOR MULTIPLE SIGNIFICANT TRAUMA,126,126,475,475,445,445,435,435,447,447,468,467,365,365,390,390
956,"Limb Reattachment, Hip and Femur Procedures for Multiple
Significant Trauma",1077,1077,4205,4200,4332,4327,4564,4558,4635,4625,4577,4571,4372,4364,4733,4725
957,"Other O.R. Procedures for Multiple Significant Trauma with
MCC",391,390,1549,1541,1526,1519,1606,1598,1771,1766,1773,1769,1485,1481,1672,1666
958,"Other O.R. Procedures for Multiple Significant Trauma with
CC",306,305,1149,1142,1147,1139,1221,1219,1303,1298,1275,1273,1128,1127,1182,1181
959,"Other O.R. Procedures for Multiple Significant Trauma without
CC/MCC",57,57,209,208,214,213,195,195,204,204,178,178,168,167,164,164
963,Other Multiple Significant Trauma with MCC,544,537,2163,2124,2130,2110,2162,2131,2224,2206,2111,2086,1984,1962,2130,2114
964,Other Multiple Significant Trauma with CC,914,878,3212,3123,2855,2825,3054,3018,3336,3281,3367,3296,3032,2986,3167,3121
965,Other Multiple Significant Trauma without CC/MCC,516,500,1493,1429,1053,1041,1059,1037,1029,1011,995,986,923,915,904,898
969,HIV with Extensive O.R. Procedure with MCC,147,143,627,599,643,610,589,563,558,525,580,555,474,449,440,420
970,HIV with Extensive O.R. Procedure without MCC,39,39,95,95,86,84,68,68,80,77,62,62,53,53,55,55
