HCPC (Health Care Common Procedure Code System) Code ,HCPC (Health Care Common Procedure Code System) Label,# of records with this HCPC code in 2004,# of people with this HCPC code in 2004,# of records with this HCPC code in 2005,# of people with this HCPC code in 2005,# of records with this HCPC code in 2006,# of people with this HCPC code in 2006,# of records with this HCPC code in 2007,# of people with this HCPC code in 2007,# of records with this HCPC code in 2008,# of people with this HCPC code in 2008,# of records with this HCPC code in 2009,# of people with this HCPC code in 2009,# of records with this HCPC code in 2010,# of people with this HCPC code in 2010,# of records with this HCPC code in 2011,# of people with this HCPC code in 2011,# of records with this HCPC code in 2012,# of people with this HCPC code in 2012,# of records with this HCPC code in 2013,# of people with this HCPC code in 2013,# of records with this HCPC code in 2014,# of people with this HCPC code in 2014
C1762,"CONNECTIVE TISSUE, HUMAN (INCLUDES FASCIA LATA)",1200,1120,3130,2665,4050,3715,4625,4305,4960,4580,5170,4970,5755,5425,6125,5775,6895,6470,7670,7280,5850,5600
C1763,"CONNECTIVE TISSUE, NON-HUMAN (INCLUDES SYNTHETIC)",1235,1185,3115,2020,3595,3320,3575,3430,4270,4115,4340,4235,5510,5400,6690,6395,7230,6745,7720,7120,5720,5510
C1764,"EVENT RECORDER, CARDIAC (IMPLANTABLE)",770,770,1730,1725,2880,2845,2740,2705,3075,3045,3710,3680,4060,4040,5285,5255,5565,5535,7290,7270,15505,15415
C1765,ADHESION BARRIER,1415,1355,3135,2970,4705,4425,4740,4465,5150,4910,5055,4805,5585,5180,6935,6630,7365,6960,5770,5515,4090,3990
C1766,"INTRODUCER/SHEATH, GUIDING, INTRACARDIAC ELECTROPHYSIOLOGICAL, STEERABLE, OTHER THAN PEEL-AWAY",2055,1935,10935,10220,18300,16905,18345,16945,21920,19855,26180,23715,30165,27455,30090,27205,29460,26740,32170,29130,32530,29430
C1767,"GENERATOR, NEUROSTIMULATOR (IMPLANTABLE), NON-RECHARGEABLE",2135,2105,10140,9580,11465,10945,10425,10095,11185,10920,13150,12835,13755,13450,15355,14930,16180,15685,17185,16760,11260,10900
C1768,"GRAFT, VASCULAR",10565,9460,17615,15840,21240,19070,21310,19215,21385,19340,22300,20300,22920,20695,22265,20085,21160,19280,21260,19540,12940,12075
C1769,GUIDE WIRE,172580,147055,435235,364735,646685,539695,637900,528005,688495,560115,771220,617470,843720,672145,880190,693875,913175,716355,946390,738320,792545,625925
C1770,"IMAGING COIL, MAGNETIC RESONANCE (INSERTABLE)",140,135,835,805,1190,1150,1385,1345,1415,1315,1390,1335,1415,1345,1470,1400,1315,1280,1825,1735,2025,1975
C1771,"REPAIR DEVICE, URINARY, INCONTINENCE, WITH SLING GRAFT",1440,1410,5475,5445,14455,14255,18050,17795,20200,19875,24085,23725,25535,25100,25760,25335,21200,20820,18870,18480,15235,14995
C1772,"INFUSION PUMP, PROGRAMMABLE (IMPLANTABLE)",875,870,3080,2980,5295,4875,5115,4995,5245,5095,5005,4875,4125,4005,7015,5825,5790,5700,5555,5455,2485,2445
C1773,"RETRIEVAL DEVICE, INSERTABLE (USED TO RETRIEVE FRACTURED MEDICAL DEVICES)",1825,1735,4905,4545,6195,5755,6110,5765,7685,7275,9000,8410,10155,9485,11220,10490,12875,12250,16535,15665,13815,13035
C1776,JOINT DEVICE (IMPLANTABLE),1715,1660,4030,3905,6025,5850,7365,7085,8175,7780,9730,9045,10890,9990,13090,12155,15495,14370,17225,16080,17280,16130
C1777,"LEAD, CARDIOVERTER-DEFIBRILLATOR, ENDOCARDIAL SINGLE COIL (IMPLANTABLE)",195,195,875,870,880,880,890,885,1060,1030,1655,1645,2225,2215,2725,2715,5000,4980,7550,7510,9025,8950
C1778,"LEAD, NEUROSTIMULATOR (IMPLANTABLE)",2410,2080,8730,7285,17055,13705,16640,13735,17440,14600,19560,16625,21250,18205,22255,19565,24120,21220,24680,21680,15305,13180
C1779,"LEAD, PACEMAKER, TRANSVENOUS VDD SINGLE PASS",880,880,3325,3265,5995,5910,5890,5820,8165,7980,10225,10050,10005,9870,10095,9915,8995,8820,8625,8495,7810,7705
C1780,"LENS, INTRAOCULAR (NEW TECHNOLOGY)",46580,36535,92625,70285,108275,81105,114025,84215,108585,79720,117590,85315,130910,93430,143685,102405,146040,102100,137025,94795,114065,78645
C1781,MESH (IMPLANTABLE),29205,28860,61700,60700,73915,72905,81170,80100,86060,84630,92680,91160,100855,99150,110015,107875,113130,110890,117715,115535,105135,103305
C1782,MORCELLATOR,390,385,575,565,605,595,755,745,825,805,1065,1040,1200,1145,1220,1200,1745,1685,2160,2085,1385,1345
C1783,"OCULAR IMPLANT, AQUEOUS DRAINAGE ASSIST DEVICE",1245,1165,2045,1855,2420,2095,2145,1870,2180,1860,2565,2325,3415,2965,3815,3345,3780,3335,4070,3595,4185,3625
C1784,"OCULAR DEVICE, INTRAOPERATIVE, DETACHED RETINA",2625,2230,3685,3155,2855,2575,3015,2690,3480,3080,3290,2840,2885,2525,2895,2550,2870,2605,2655,2455,1965,1815
C1785,"PACEMAKER, DUAL CHAMBER, RATE-RESPONSIVE (IMPLANTABLE)",11115,11065,29725,29585,45815,45460,52765,52545,62815,62595,71730,71560,74240,73995,76815,76535,76455,76250,75775,75610,74130,74005
C1786,"PACEMAKER, SINGLE CHAMBER, RATE-RESPONSIVE (IMPLANTABLE)",3205,3200,10330,10275,11640,11565,12340,12275,14870,14825,16425,16345,15950,15905,16150,16115,15735,15695,15905,15880,15060,15030
C1787,"PATIENT PROGRAMMER, NEUROSTIMULATOR",1000,990,2615,2520,4460,4310,6255,6140,7285,7120,10120,9865,12130,11845,13865,13520,15580,15285,16175,15780,10795,10575
C1788,"PORT, INDWELLING (IMPLANTABLE)",14785,14475,45095,43625,69670,67570,75865,72765,77380,74965,80670,78315,83260,80680,89165,86165,90735,87820,95200,89715,82410,77605
C1789,"PROSTHESIS, BREAST (IMPLANTABLE)",615,585,1710,1635,2665,2430,2960,2745,3150,2860,3895,3505,4630,4130,5205,4705,6055,5390,7215,6355,6520,5715
C1813,"PROSTHESIS, PENILE, INFLATABLE",970,945,2610,2475,4460,4215,4565,4330,4920,4685,5340,5165,5890,5485,5975,5555,6365,5700,6455,5930,5160,4775
C1814,"RETINAL TAMPONADE DEVICE, SILICONE OIL",1120,1090,1885,1730,2395,2160,2290,2055,2500,2250,2445,2195,2780,2490,2530,2310,3040,2700,2790,2510,2205,1975
C1815,"PROSTHESIS, URINARY SPHINCTER (IMPLANTABLE)",295,285,785,745,2100,1920,2290,2100,2130,2035,1910,1735,2185,1970,2555,2130,2905,2415,3055,2480,2850,2385
C1816,"RECEIVER AND/OR TRANSMITTER, NEUROSTIMULATOR (IMPLANTABLE)",265,255,365,355,295,285,350,340,340,340,325,320,410,410,445,430,305,305,200,195,160,155
C1817,"SEPTAL DEFECT IMPLANT SYSTEM, INTRACARDIAC",240,220,355,340,355,345,330,330,620,560,825,725,1105,1010,1230,1130,940,870,945,890,585,560
C1818,INTEGRATED KERATOPROSTHESIS,75,75,95,95,115,105,175,170,385,355,1070,955,550,520,465,435,490,445,435,405,315,255
C1819,SURGICAL TISSUE LOCALIZATION AND EXCISION DEVICE (IMPLANTABLE),295,295,355,355,715,705,1195,1175,1685,1550,2070,1935,2200,1930,2630,2385,2660,2400,2435,2265,2150,2085
C1820,"GENERATOR, NEUROSTIMULATOR (IMPLANTABLE), WITH RECHARGEABLE BATTERY AND CHARGING SYSTEM",0,0,0,0,3040,2920,4965,4755,5495,5260,7005,6690,8220,7920,9410,9005,10415,10020,11380,11035,6430,6125
C1821,INTERSPINOUS PROCESS DISTRACTION DEVICE (IMPLANTABLE),0,0,0,0,0,0,1265,1225,2060,2030,1770,1720,1470,1435,1065,1035,720,685,580,560,475,465
C1874,"STENT, COATED/COVERED, WITH DELIVERY SYSTEM",9540,9110,25150,23755,35970,33735,34005,32015,56555,52940,83825,78135,100470,93065,105110,96930,107880,100430,117455,109045,117910,109275
C1875,"STENT, COATED/COVERED, WITHOUT DELIVERY SYSTEM",980,925,1910,1735,3575,3170,3060,2690,3050,2715,3425,2985,3370,3105,2970,2705,3065,2790,3335,2975,2530,2285
C1876,"STENT, NON-COATED/NON-COVERED, WITH DELIVERY SYSTEM",14440,13565,34065,31655,48605,44870,54095,49940,61510,56530,66155,60715,68555,63035,69895,64140,66150,60740,64970,59480,52960,48580
C1877,"STENT, NON-COATED/NON-COVERED, WITHOUT DELIVERY SYSTEM",3255,3040,6610,5940,8320,7620,8040,7285,8195,7285,8505,7440,8775,7700,7905,6810,7050,6080,6650,5645,4790,4300
C1878,"MATERIAL FOR VOCAL CORD MEDIALIZATION, SYNTHETIC (IMPLANTABLE)",160,155,255,245,230,220,310,305,445,410,720,650,875,815,995,915,1105,1015,1295,1150,1450,1315
C1879,TISSUE MARKER (IMPLANTABLE),6945,6755,13730,13445,18995,18345,24170,23265,20460,19700,22840,21735,25605,24370,28780,27570,33015,31340,16670,15920,0,0
C1880,VENA CAVA FILTER,970,960,2485,2460,3675,3630,4395,4335,5070,4955,5410,5345,5840,5810,6000,5945,5660,5610,5265,5210,4410,4390
C1881,DIALYSIS ACCESS SYSTEM (IMPLANTABLE),510,450,950,895,540,520,715,690,740,715,770,740,640,580,875,835,640,595,645,610,530,450
C1882,"CARDIOVERTER-DEFIBRILLATOR, OTHER THAN SINGLE OR DUAL CHAMBER (IMPLANTABLE)",1190,1190,6990,6965,6735,6710,9755,9740,13615,13580,18315,18245,22645,22585,22310,22185,24015,23935,28140,28055,27530,27410
C1883,"ADAPTER/EXTENSION, PACING LEAD OR NEUROSTIMULATOR LEAD (IMPLANTABLE)",1140,1075,2720,2570,3855,3575,3820,3495,4485,4095,4535,4125,4390,4010,3920,3705,3965,3780,4620,4350,3120,2925
C1884,EMBOLIZATION PROTECTIVE SYSTEM,775,750,1280,1230,1795,1745,2085,2005,3475,3320,4945,4655,6315,5910,8225,7555,8410,7785,10205,9190,9615,8735
C1885,"CATHETER, TRANSLUMINAL ANGIOPLASTY, LASER",360,330,3605,3290,4805,4385,5040,4615,6455,5400,7265,5600,6605,5525,5875,5205,5155,4635,5230,4615,4925,4325
C1887,"CATHETER, GUIDING (MAY INCLUDE INFUSION/PERFUSION CAPABILITY)",46600,43770,131090,122520,225760,207775,217620,198710,249030,225425,289460,259025,318560,283390,332780,292065,344780,302435,368745,319975,334225,289045
C1888,"CATHETER, ABLATION, NON-CARDIAC, ENDOVASCULAR (IMPLANTABLE)",1520,1260,1360,1235,1765,1570,1675,1450,1615,1400,2220,1915,2410,2055,3285,2745,4230,3260,4300,3400,4675,3435
C1891,"INFUSION PUMP, NON-PROGRAMMABLE, PERMANENT (IMPLANTABLE)",120,115,345,345,510,510,365,365,345,345,285,285,205,205,235,235,235,225,215,200,85,85
C1892,"INTRODUCER/SHEATH, GUIDING, INTRACARDIAC ELECTROPHYSIOLOGICAL, FIXED-CURVE, PEEL-AWAY",6505,6120,16720,15700,21625,20460,25945,24470,31320,29520,35830,33605,40855,38405,42920,40255,45310,42570,48470,45650,46180,43930
C1893,"INTRODUCER/SHEATH, GUIDING, INTRACARDIAC ELECTROPHYSIOLOGICAL, FIXED-CURVE, OTHER THAN PEEL-AWAY",19190,17380,41805,37805,52320,46755,50670,45030,51500,45345,55555,49175,62325,55640,63030,55790,65210,57400,70895,62545,65715,58715
C1894,"INTRODUCER/SHEATH, OTHER THAN GUIDING, OTHER THAN INTRACARDIAC ELECTROPHYSIOLOGICAL, NON-LASER",86470,77895,216595,194735,302560,267655,321570,283305,373445,323440,441075,377335,502365,425280,546765,460780,588320,494970,618155,519235,529715,449965
C1895,"LEAD, CARDIOVERTER-DEFIBRILLATOR, ENDOCARDIAL DUAL COIL (IMPLANTABLE)",2100,2075,6890,6820,7600,7550,8605,8560,11180,11115,13070,12985,15295,15165,15715,15575,17800,17595,17445,17255,14115,13985
C1896,"LEAD, CARDIOVERTER-DEFIBRILLATOR, OTHER THAN ENDOCARDIAL SINGLE OR DUAL COIL (IMPLANTABLE)",305,300,470,460,425,425,570,570,890,885,960,960,1065,1050,795,795,420,415,840,835,1025,1020
C1897,"LEAD, NEUROSTIMULATOR TEST KIT (IMPLANTABLE)",455,435,1020,940,1795,1710,2860,2680,3630,3350,4570,4155,4800,4505,5190,4820,5175,4780,5175,4760,3440,3235
C1898,"LEAD, PACEMAKER, OTHER THAN TRANSVENOUS VDD SINGLE PASS",7750,7585,16930,16620,21650,21200,23435,22950,31920,30940,42085,40715,49875,48315,51870,50495,54935,53615,58600,57095,59740,58055
C1899,"LEAD, PACEMAKER/CARDIOVERTER-DEFIBRILLATOR COMBINATION (IMPLANTABLE)",335,330,635,635,525,525,810,810,610,605,630,630,740,735,730,720,385,385,315,300,250,250
C1900,"LEAD, LEFT VENTRICULAR CORONARY VENOUS SYSTEM",2210,2185,5245,5125,5850,5760,6115,5995,7960,7785,9460,9130,11800,11530,12345,11915,13370,13055,17060,16645,19405,18865
C2614,"PROBE, PERCUTANEOUS LUMBAR DISCECTOMY",245,245,310,300,355,330,310,305,290,255,295,265,215,210,130,125,105,105,120,110,40,40
C2615,"SEALANT, PULMONARY, LIQUID",160,160,650,625,1040,1005,905,860,1255,1220,1220,1145,1345,1255,1985,1815,1805,1715,1930,1835,1440,1365
C2616,"BRACHYTHERAPY SOURCE, NON-STRANDED, YTTRIUM-90, PER SOURCE",220,170,400,330,480,400,825,660,1145,885,1400,1065,1530,1155,1995,1525,2575,1950,2775,2175,2785,2145
C2617,"STENT, NON-CORONARY, TEMPORARY, WITHOUT DELIVERY SYSTEM",9360,7845,20375,16600,26780,21630,30950,24770,36450,28505,40850,32295,47625,36980,55300,42865,64660,50355,71945,55360,66825,51370
C2618,"PROBE, CRYOABLATION",1445,1300,3550,3510,4820,4735,5660,5565,5810,5685,5270,5095,4985,4820,5010,4770,4140,3980,4445,4235,3635,3420
C2619,"PACEMAKER, DUAL CHAMBER, NON RATE-RESPONSIVE (IMPLANTABLE)",310,310,1035,1030,1590,1570,1460,1460,1210,1205,990,985,1050,1045,735,735,700,700,600,600,615,610
C2620,"PACEMAKER, SINGLE CHAMBER, NON RATE-RESPONSIVE (IMPLANTABLE)",90,90,430,430,515,510,465,465,390,390,310,310,310,310,240,240,260,260,260,260,200,200
C2621,"PACEMAKER, OTHER THAN SINGLE OR DUAL CHAMBER (IMPLANTABLE)",455,455,795,795,985,980,1120,1115,1650,1650,2095,2095,3005,3005,3580,3565,3855,3840,4965,4950,6950,6935
C2622,"PROSTHESIS, PENILE, NON-INFLATABLE",95,95,245,245,435,415,420,420,350,345,380,375,390,365,425,410,320,310,430,420,320,315
C2625,"STENT, NON-CORONARY, TEMPORARY, WITH DELIVERY SYSTEM",1670,1580,4490,3860,6625,5680,7675,6580,9155,7635,10870,8975,11615,9425,12800,10080,13470,10650,15225,12060,13095,10215
C2626,"INFUSION PUMP, NON-PROGRAMMABLE, TEMPORARY (IMPLANTABLE)",505,500,1520,1500,1575,1555,1495,1460,1390,1360,1500,1480,1260,1220,1495,1410,1305,1260,1160,1130,795,790
C2627,"CATHETER, SUPRAPUBIC/CYSTOSCOPIC",820,700,2565,2375,5480,4935,7280,6435,8455,7380,9960,8210,10610,8645,10745,8375,10575,8175,10045,7660,7940,6160
C2628,"CATHETER, OCCLUSION",675,605,1935,1765,3395,2930,3735,3290,3765,3155,4220,3650,4485,3880,4060,3625,4175,3615,4630,4115,3875,3580
C2629,"INTRODUCER/SHEATH, OTHER THAN GUIDING, INTRACARDIAC ELECTROPHYSIOLOGICAL, LASER",1760,1595,4355,4095,6115,5750,5335,4970,5315,4815,5920,5320,7135,6325,7545,6730,7715,6855,7735,6815,5410,4870
C2630,"CATHETER, ELECTROPHYSIOLOGY, DIAGNOSTIC/ABLATION, OTHER THAN 3D OR VECTOR MAPPING, COOL-TIP",480,465,1440,1415,1865,1785,1850,1805,2630,2535,3470,3340,4290,4210,5210,4955,5945,5795,7275,7045,7375,7035
C2631,"REPAIR DEVICE, URINARY, INCONTINENCE, WITHOUT SLING GRAFT",1555,1430,2650,2485,2985,2875,2650,2560,2415,2380,2445,2400,2315,2260,2130,2100,1955,1900,1795,1775,1620,1580
C2634,"BRACHYTHERAPY SOURCE, NON-STRANDED, HIGH ACTIVITY, IODINE-125, GREATER THAN 1.01 MCI (NIST), PER SOU",0,0,380,375,285,285,195,195,270,270,195,195,160,150,215,180,135,130,155,135,155,125
C2635,"BRACHYTHERAPY SOURCE, NON-STRANDED, HIGH ACTIVITY, PALADIUM-103, GREATER THAN 2.2 MCI (NIST), PER SO",0,0,275,270,250,250,265,265,280,275,145,145,2425,65,2735,55,2930,50,1240,35,20,20
C2636,"BRACHYTHERAPY LINEAR SOURCE, NON-STRANDED, PALADIUM-103, PER 1 MM",0,0,65,65,65,65,70,70,.,.,15,15,.,.,.,.,0,0,0,0,25,15
C2637,"BRACHYTHERAPY SOURCE, NON-STRANDED, YTTERBIUM-169, PER SOURCE",0,0,0,0,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2638,"BRACHYTHERAPY SOURCE, STRANDED, IODINE-125, PER SOURCE",0,0,0,0,0,0,1500,1495,3345,3010,2305,2275,2280,1925,2305,2150,1745,1720,1535,1480,1415,1395
C2639,"BRACHYTHERAPY SOURCE, NON-STRANDED, IODINE-125, PER SOURCE",0,0,0,0,0,0,2580,2565,4675,4625,3685,3640,3055,3020,2930,2870,2145,2100,1840,1790,1530,1495
C2640,"BRACHYTHERAPY SOURCE, STRANDED, PALLADIUM-103, PER SOURCE",0,0,0,0,0,0,640,635,1105,1080,1165,1145,900,800,805,755,600,565,580,535,350,340
C2641,"BRACHYTHERAPY SOURCE, NON-STRANDED, PALLADIUM-103, PER SOURCE",0,0,0,0,0,0,1380,1355,2495,2435,2100,2055,1360,1355,1295,1245,990,975,1355,855,1655,590
C2642,"BRACHYTHERAPY SOURCE, STRANDED, CESIUM-131, PER SOURCE",0,0,0,0,0,0,70,60,160,155,90,90,80,80,115,115,70,65,50,45,45,45
C2643,"BRACHYTHERAPY SOURCE, NON-STRANDED, CESIUM-131, PER SOURCE",0,0,0,0,0,0,140,135,375,365,265,255,220,215,185,185,170,165,145,145,165,165
C2698,"BRACHYTHERAPY SOURCE, STRANDED, NOT OTHERWISE SPECIFIED, PER SOURCE",0,0,0,0,0,0,20,20,20,20,15,15,0,0,15,15,.,.,15,15,15,15
C2699,"BRACHYTHERAPY SOURCE, NON-STRANDED, NOT OTHERWISE SPECIFIED, PER SOURCE",0,0,0,0,0,0,0,0,.,.,15,15,.,.,.,.,.,.,.,.,.,.
C8900,"MAGNETIC RESONANCE ANGIOGRAPHY WITH CONTRAST, ABDOMEN",16090,15845,17080,16860,16455,16260,11160,11020,7585,7515,5650,5605,4125,4095,3625,3600,2915,2880,2410,2400,1490,1490
C8901,"MAGNETIC RESONANCE ANGIOGRAPHY WITHOUT CONTRAST, ABDOMEN",2750,2735,2020,2010,2150,2130,1910,1900,1695,1675,1475,1460,1915,1880,2065,2040,1815,1795,1675,1655,1280,1270
C8902,"MAGNETIC RESONANCE ANGIOGRAPHY WITHOUT CONTRAST FOLLOWED BY WITH CONTRAST, ABDOMEN",23815,23430,26020,25560,28330,27890,19105,18880,13105,12945,11140,11035,9710,9595,8340,8230,7000,6935,6290,6140,4765,4700
C8903,"MAGNETIC RESONANCE IMAGING WITH CONTRAST, BREAST; UNILATERAL",295,265,325,305,245,240,350,335,270,260,215,215,100,90,160,160,140,140,145,145,45,45
C8904,"MAGNETIC RESONANCE IMAGING WITHOUT CONTRAST, BREAST; UNILATERAL",265,255,175,160,180,170,185,180,135,135,140,140,100,100,120,120,200,190,115,115,125,125
C8905,"MAGNETIC RESONANCE IMAGING WITHOUT CONTRAST FOLLOWED BY WITH CONTRAST, BREAST; UNILATERAL",2855,2390,3090,2630,2885,2605,3630,3280,3065,2805,2425,2355,1925,1830,1810,1735,1820,1750,1520,1455,1000,965
C8906,"MAGNETIC RESONANCE IMAGING WITH CONTRAST, BREAST; BILATERAL",335,330,495,485,710,685,1275,1240,1505,1465,1755,1695,1715,1630,1400,1340,1475,1420,1805,1755,1700,1655
C8907,"MAGNETIC RESONANCE IMAGING WITHOUT CONTRAST, BREAST; BILATERAL",440,430,580,575,630,625,1005,1000,1035,1015,880,880,710,710,870,865,1235,1205,1160,1135,850,845
C8908,"MAGNETIC RESONANCE IMAGING WITHOUT CONTRAST FOLLOWED BY WITH CONTRAST, BREAST; BILATERAL",3725,3580,6720,6500,10400,9990,20195,19395,26795,25565,29705,28445,27640,26450,30650,29415,32505,31270,33015,31700,29145,27995
C8909,"MAGNETIC RESONANCE ANGIOGRAPHY WITH CONTRAST, CHEST (EXCLUDING MYOCARDIUM)",1660,1595,1600,1545,1545,1500,1180,1100,1150,1020,1100,1055,1115,1080,1185,1115,1380,1320,1400,1325,1240,1180
C8910,"MAGNETIC RESONANCE ANGIOGRAPHY WITHOUT CONTRAST, CHEST (EXCLUDING MYOCARDIUM)",385,365,400,375,445,425,415,395,445,425,550,525,575,565,635,615,730,725,745,735,555,540
C8911,"MAGNETIC RESONANCE ANGIOGRAPHY WITHOUT CONTRAST FOLLOWED BY WITH CONTRAST, CHEST (EXCLUDING MYOCARDI",2225,2155,2335,2225,2835,2710,2200,2085,2095,1985,2170,2080,2410,2230,3190,2845,2990,2825,3125,2990,2710,2625
C8912,"MAGNETIC RESONANCE ANGIOGRAPHY WITH CONTRAST, LOWER EXTREMITY",8355,7315,10670,9025,11250,9525,8700,7155,5735,4680,4620,3720,3570,2865,3020,2465,2390,2015,1610,1360,1180,985
C8913,"MAGNETIC RESONANCE ANGIOGRAPHY WITHOUT CONTRAST, LOWER EXTREMITY",1895,1580,1880,1615,1875,1570,1365,1190,1030,895,915,790,940,770,750,600,690,590,550,460,330,300
C8914,"MAGNETIC RESONANCE ANGIOGRAPHY WITHOUT CONTRAST FOLLOWED BY WITH CONTRAST, LOWER EXTREMITY",11075,9600,13540,11270,15405,12640,11435,9480,8310,7020,7395,6230,6410,5155,5550,4320,4650,3595,4295,3320,2580,2130
C8918,"MAGNETIC RESONANCE ANGIOGRAPHY WITH CONTRAST, PELVIS",2025,1965,2640,2605,2810,2780,2220,2210,1400,1380,1265,1235,875,875,640,635,585,580,490,490,320,320
C8919,"MAGNETIC RESONANCE ANGIOGRAPHY WITHOUT CONTRAST, PELVIS",495,495,470,470,320,320,395,395,400,400,290,280,305,305,295,290,235,235,275,275,200,190
C8920,"MAGNETIC RESONANCE ANGIOGRAPHY WITHOUT CONTRAST FOLLOWED BY WITH CONTRAST, PELVIS",2330,2300,3645,3585,4555,4495,3175,3140,2225,2150,2055,2050,1780,1745,1745,1710,1480,1440,1475,1435,1150,1140
C8921,"TRANSTHORACIC ECHOCARDIOGRAPHY WITH CONTRAST, OR WITHOUT CONTRAST FOLLOWED BY WITH CONTRAST, FOR CON",0,0,0,0,0,0,0,0,45,45,105,105,100,100,115,110,115,100,185,185,65,65
C8922,"TRANSTHORACIC ECHOCARDIOGRAPHY WITH CONTRAST, OR WITHOUT CONTRAST FOLLOWED BY WITH CONTRAST, FOR CON",0,0,0,0,0,0,0,0,.,.,20,20,15,15,.,.,30,25,35,25,.,.
C8923,"TRANSTHORACIC ECHOCARDIOGRAPHY WITH CONTRAST, OR WITHOUT CONTRAST FOLLOWED BY WITH CONTRAST, REAL-TI",0,0,0,0,0,0,0,0,9980,9560,4260,4215,2580,2545,3225,3165,2950,2885,4800,4700,4780,4675
C8924,"TRANSTHORACIC ECHOCARDIOGRAPHY WITH CONTRAST, OR WITHOUT CONTRAST FOLLOWED BY WITH CONTRAST, REAL-TI",0,0,0,0,0,0,0,0,605,585,810,760,1075,1000,1580,1450,1875,1745,2980,2780,2835,2660
C8925,"TRANSESOPHAGEAL ECHOCARDIOGRAPHY (TEE) WITH CONTRAST, OR WITHOUT CONTRAST FOLLOWED BY WITH CONTRAST,",0,0,0,0,0,0,0,0,1275,1220,2390,2350,3335,3210,3665,3515,3465,3415,3780,3660,3715,3560
C8926,"TRANSESOPHAGEAL ECHOCARDIOGRAPHY (TEE) WITH CONTRAST, OR WITHOUT CONTRAST FOLLOWED BY WITH CONTRAST,",0,0,0,0,0,0,0,0,110,105,100,100,70,70,125,120,55,55,70,60,75,65
C8927,"TRANSESOPHAGEAL ECHOCARDIOGRAPHY (TEE) WITH CONTRAST, OR WITHOUT CONTRAST FOLLOWED BY WITH CONTRAST,",0,0,0,0,0,0,0,0,60,60,40,35,80,80,190,175,195,190,205,200,220,195
C8928,"TRANSTHORACIC ECHOCARDIOGRAPHY WITH CONTRAST, OR WITHOUT CONTRAST FOLLOWED BY WITH CONTRAST, REAL-TI",0,0,0,0,0,0,0,0,7255,7210,11195,11105,15080,14985,14975,14835,14545,14475,16165,16080,14245,14175
C8929,"TRANSTHORACIC ECHOCARDIOGRAPHY WITH CONTRAST, OR WITHOUT CONTRAST FOLLOWED BY WITH CONTRAST, REAL-TI",0,0,0,0,0,0,0,0,0,0,30035,29055,45595,43895,58060,56050,66385,64000,79840,77080,76610,74290
C8930,"TRANSTHORACIC ECHOCARDIOGRAPHY, WITH CONTRAST, OR WITHOUT CONTRAST FOLLOWED BY WITH CONTRAST, REAL-T",0,0,0,0,0,0,0,0,0,0,4505,4440,7425,7375,9765,9725,10820,10750,12935,12820,12690,12625
C8957,"INTRAVENOUS INFUSION FOR THERAPY/DIAGNOSIS; INITIATION OF PROLONGED INFUSION (MORE THAN 8 HOURS), RE",0,0,0,0,4280,2200,5895,2260,4710,2450,4440,2605,5535,2415,4500,2275,5425,2020,5250,2360,4420,1750
C9113,"INJECTION, PANTOPRAZOLE SODIUM, PER VIAL",39105,28205,56675,38305,61245,41900,92005,60655,110440,70820,126020,80735,165525,100910,227520,139445,265165,159905,283180,171200,212675,129130
C9121,"INJECTION, ARGATROBAN, PER 5 MG",85,35,250,75,370,115,1155,135,385,210,515,305,475,280,1115,275,1240,330,875,330,285,200
C9245,"INJECTION, ROMIPLOSTIM, 10 MCG",0,0,0,0,0,0,0,0,0,0,3900,325,0,0,0,0,0,0,0,0,0,0
C9246,"INJECTION, GADOXETATE DISODIUM, PER ML",0,0,0,0,0,0,0,0,0,0,1685,1545,0,0,0,0,0,0,0,0,0,0
C9247,"IOBENGUANE, I-123, DIAGNOSTIC, PER STUDY DOSE, UP TO 10 MILLICURIES",0,0,0,0,0,0,0,0,0,0,390,370,0,0,0,0,0,0,0,0,0,0
C9248,"INJECTION, CLEVIDIPINE BUTYRATE, 1 MG",0,0,0,0,0,0,0,0,0,0,50,50,15,15,.,.,105,80,55,50,50,50
C9352,"MICROPOROUS COLLAGEN IMPLANTABLE TUBE (NEURAGEN NERVE GUIDE), PER CENTIMETER LENGTH",0,0,0,0,0,0,0,0,20,20,30,30,50,50,105,100,95,95,110,110,55,55
C9353,"MICROPOROUS COLLAGEN IMPLANTABLE SLIT TUBE (NEURAWRAP NERVE PROTECTOR), PER CENTIMETER LENGTH",0,0,0,0,0,0,0,0,30,30,55,55,50,50,55,55,85,85,105,100,45,45
C9354,"ACELLULAR PERICARDIAL TISSUE MATRIX OF NON-HUMAN ORIGIN (VERITAS), PER SQUARE CENTIMETER",0,0,0,0,0,0,0,0,.,.,60,55,55,55,65,65,115,115,65,60,85,85
C9355,"COLLAGEN NERVE CUFF (NEUROMATRIX), PER 0.5 CENTIMETER LENGTH",0,0,0,0,0,0,0,0,0,0,.,.,.,.,25,25,20,20,30,30,0,0
C9356,"TENDON, POROUS MATRIX OF CROSS-LINKED COLLAGEN AND GLYCOSAMINOGLYCAN MATRIX (TENOGLIDE TENDON PROTEC",0,0,0,0,0,0,0,0,0,0,15,15,25,25,25,20,60,55,95,90,40,40
