hcpcs_cdH – CPC (Health Care Common Procedure Code System) Code ,Format value long labelH – CPC (Health Care Common Procedure Code System) Long Label,Format value short labelH – CPC (Health Care Common Procedure Code System) Short Label,Nrecs2004# -  of records with this HCPC code in 2004,nppl_any2004# -  of people with this HCPC code in 2004,Nrecs2005 - # of records with this HCPC code in 2005,nppl_any2005 - # of people with this HCPC code in 2005,Nrecs2006 - # of records with this HCPC code in 2006,nppl_any2006 - # of people with this HCPC code in 2006,Nrecs2007 - # of records with this HCPC code in 2007,nppl_any2007 - # of people with this HCPC code in 2007,Nrecs2008 - # of records with this HCPC code in 2008,nppl_any2008 - # of people with this HCPC code in 2008,Nrecs2009 - # of records with this HCPC code in 2009,nppl_any2009 - # of people with this HCPC code in 2009,Nrecs2010 - # of records with this HCPC code in 2010,nppl_any2010 - # of people with this HCPC code in 2010,Nrecs2011 - # of records with this HCPC code in 2011,nppl_any2011 - # of people with this HCPC code in 2011,Nrecs2012 - # of records with this HCPC code in 2012,nppl_any2012 - # of people with this HCPC code in 2012,Nrecs2013 - # of records with this HCPC code in 2013,nppl_any2013 - # of people with this HCPC code in 2013,Nrecs2014 - # of records with this HCPC code in 2014,nppl_any2014 - # of people with this HCPC code in 2014
A4305,"Disposable drug delivery system, flow rate of 50 ml or greater per hour","DISPOSABLE DRUG DELIVERY SYSTEM, FLOW RATE OF 50 ML OR GREATER PER HOUR",37955,8170,29810,6535,24590,5480,19380,4590,25035,5925,31755,6875,29640,6990,24440,5825,21655,4520,19810,3645,19300,3420
A4306,"Disposable drug delivery system, flow rate of less than 50 ml per hour","DISPOSABLE DRUG DELIVERY SYSTEM, FLOW RATE OF LESS THAN 50 ML PER HOUR",1620,775,2065,970,1950,995,1880,1105,3130,1105,3455,1435,3025,1365,4170,1415,3650,1295,3115,1030,2695,970
A4310,Insertion tray without drainage bag and without catheter (accessories only),INSERTION TRAY WITHOUT DRAINAGE BAG AND WITHOUT CATHETER (ACCESSORIES ONLY),5180,2750,5375,2570,5625,2325,6085,2495,5905,2660,5675,2690,5070,2045,6155,2185,4585,2025,3445,1280,2640,1075
A4311,"Insertion tray without drainage bag with indwelling catheter, Foley type, two-way latex with
coating (Teflon, silicone, silicone elastomer or hydrophilic, etc.)","INSERTION TRAY WITHOUT DRAINAGE BAG WITH INDWELLING CATHETER, FOLEY TYPE, TWO-WAY LATEX WITH COATING",2600,1155,1975,1010,1940,950,1720,925,1870,895,1930,965,2160,1150,2320,1140,1655,780,865,420,1185,525
A4312,"Insertion tray without drainage bag with indwelling catheter, Foley type, two-way, all silicone","INSERTION TRAY WITHOUT DRAINAGE BAG WITH INDWELLING CATHETER, FOLEY TYPE, TWO-WAY, ALL SILICONE",495,290,335,250,420,285,305,195,285,170,415,230,340,185,390,200,210,90,245,110,180,140
A4313,"Insertion tray without drainage bag with indwelling catheter, Foley type, three-way, for
continuous irrigation","INSERTION TRAY WITHOUT DRAINAGE BAG WITH INDWELLING CATHETER, FOLEY TYPE, THREE-WAY, FOR CONTINUOUS",205,110,125,80,145,80,35,30,60,35,210,90,50,20,150,45,160,30,70,15,20,20
A4314,"Insertion tray with drainage bag with indwelling catheter, Foley type, two-way latex with
coating (Teflon, silicone, silicone elastomer or hydrophilic, etc.)","INSERTION TRAY WITH DRAINAGE BAG WITH INDWELLING CATHETER, FOLEY TYPE, TWO-WAY LATEX WITH COATING (T",2240,1305,2130,1275,2530,1490,2760,1600,2950,1490,3620,1680,2745,1480,2935,1590,2985,1615,2505,1240,2515,1290
A4315,"Insertion tray with drainage bag with indwelling catheter, Foley type, two-way, all silicone","INSERTION TRAY WITH DRAINAGE BAG WITH INDWELLING CATHETER, FOLEY TYPE, TWO-WAY, ALL SILICONE",365,265,490,305,330,215,590,370,615,400,570,305,1640,595,1095,390,455,285,245,165,190,120
A4316,"Insertion tray with drainage bag with indwelling catheter, Foley type, three-way, for
continuous irrigation","INSERTION TRAY WITH DRAINAGE BAG WITH INDWELLING CATHETER, FOLEY TYPE, THREE-WAY, FOR CONTINUOUS IRR",185,135,130,95,150,85,95,75,210,115,160,110,125,75,120,40,100,40,100,45,25,20
A4320,"Irrigation tray with bulb or piston syringe, any purpose","IRRIGATION TRAY WITH BULB OR PISTON SYRINGE, ANY PURPOSE",4505,2785,4910,3150,5320,3605,4880,3415,4925,3540,5135,3735,5510,4215,5625,4250,4885,3705,5415,4025,5005,3735
A4321,Therapeutic agent for urinary catheter irrigation,THERAPEUTIC AGENT FOR URINARY CATHETER IRRIGATION,1320,835,2030,1125,1950,1010,1500,880,565,395,295,145,715,130,535,90,495,75,550,100,235,75
A4322,"Irrigation syringe, bulb or piston, each","IRRIGATION SYRINGE, BULB OR PISTON, EACH",1225,590,1375,655,1325,600,1335,590,1010,505,1585,805,1690,895,1065,660,510,370,340,215,545,350
A4326,"MALE EXTERNAL CATHETER WITH INTEGRAL COLLECTION CHAMBER, ANY TYPE, EACH","MALE EXTERNAL CATHETER WITH INTEGRAL COLLECTION CHAMBER, ANY TYPE, EACH",.,.,.,.,35,20,.,.,20,20,40,20,60,20,110,15,0,0,0,0,0,0
A4327,"Female external urinary collection device; metal cup, each","FEMALE EXTERNAL URINARY COLLECTION DEVICE; METAL CUP, EACH",175,100,135,60,110,60,205,115,120,80,95,60,60,55,15,15,35,30,30,30,.,.
A4328,"Female external urinary collection device; pouch, each","FEMALE EXTERNAL URINARY COLLECTION DEVICE; POUCH, EACH",80,75,160,100,140,100,125,100,80,60,125,55,85,55,40,30,40,35,50,45,40,35
A4330,"Perianal fecal collection pouch with adhesive, each","PERIANAL FECAL COLLECTION POUCH WITH ADHESIVE, EACH",.,.,0,0,.,.,0,0,0,0,15,15,15,15,0,0,0,0,50,45,20,20
A4331,"Extension drainage tubing, any type, any length, with connector/adapter, for use with urinary
leg bag or urostomy pouch, each","EXTENSION DRAINAGE TUBING, ANY TYPE, ANY LENGTH, WITH CONNECTOR/ADAPTER, FOR USE WITH URINARY LEG BA",125,70,140,115,90,85,70,55,80,65,110,95,65,60,145,90,315,180,615,235,475,170
A4332,"Lubricant, individual sterile packet, each","LUBRICANT, INDIVIDUAL STERILE PACKET, EACH",515,340,720,530,1105,725,1030,650,1295,710,1235,685,795,490,575,365,795,570,580,375,640,315
A4333,"Urinary catheter anchoring device, adhesive skin attachment, each","URINARY CATHETER ANCHORING DEVICE, ADHESIVE SKIN ATTACHMENT, EACH",25,25,30,30,420,165,650,225,95,75,110,85,35,25,60,40,135,80,115,55,150,115
A4334,"Urinary catheter anchoring device, leg strap, each","URINARY CATHETER ANCHORING DEVICE, LEG STRAP, EACH",575,355,840,455,630,440,735,390,1035,505,790,450,940,440,1460,550,1150,515,1385,615,995,405
A4335,Incontinence supply; miscellaneous,INCONTINENCE SUPPLY; MISCELLANEOUS,785,545,1010,580,2045,850,845,570,785,450,1005,535,740,420,485,285,355,205,335,210,385,250
A4338,"Indwelling catheter; Foley type, two-way latex with coating (Teflon, silicone, silicone
elastomer, or hydrophilic, etc.), each","INDWELLING CATHETER; FOLEY TYPE, TWO-WAY LATEX WITH COATING (TEFLON, SILICONE, SILICONE ELASTOMER, O",16590,8205,15185,7190,16105,7815,17250,8075,13620,6320,12965,5845,14405,6230,15130,6575,14010,6165,12085,5170,11130,4560
A4340,"Indwelling catheter; specialty type, (e.g. Coude, mushroom, wing, etc.), each","INDWELLING CATHETER; SPECIALTY TYPE, (E.G. COUDE, MUSHROOM, WING, ETC.), EACH",3435,2060,3365,1855,3595,1905,4660,2615,4480,2595,3920,2145,2970,1730,3900,1915,3135,1780,2695,1470,2355,1245
A4344,"Indwelling catheter, Foley type, two-way, all silicone, each","INDWELLING CATHETER, FOLEY TYPE, TWO-WAY, ALL SILICONE, EACH",6890,3445,6150,3250,6195,3145,6940,3150,7105,3195,6145,2755,5700,2450,5640,2325,4490,1915,4295,1765,3685,1475
A4346,"Indwelling catheter; Foley type, three way for continuous irrigation, each","INDWELLING CATHETER; FOLEY TYPE, THREE WAY FOR CONTINUOUS IRRIGATION, EACH",1055,405,1100,415,1445,450,1260,425,1025,370,1185,390,1290,415,665,295,495,205,575,200,415,160
A4349,"Male external catheter, with or without adhesive, disposable, each","MALE EXTERNAL CATHETER, WITH OR WITHOUT ADHESIVE, DISPOSABLE, EACH",30,20,145,85,105,80,65,55,65,55,.,.,50,30,65,35,.,.,.,.,15,.
A4351,"Intermittent urinary catheter; straight tip, with or without coating (Teflon, silicone, silicone
elastomer, or hydrophilic, etc.), each","INTERMITTENT URINARY CATHETER; STRAIGHT TIP, WITH OR WITHOUT COATING (TEFLON, SILICONE, SILICONE ELA",9525,5290,8640,4785,9620,5140,9205,5255,9740,5360,10805,5720,9505,4815,9375,4815,9500,4485,8595,4130,7605,3755
A4352,"Intermittent urinary catheter; Coude (curved) tip, with or without coating (Teflon, silicone,
silicone elastomeric, or hydrophilic, etc.), each","INTERMITTENT URINARY CATHETER; COUDE (CURVED) TIP, WITH OR WITHOUT COATING (TEFLON, SILICONE, SILICO",1935,1130,1560,1010,2270,1575,1915,1120,1505,1025,1075,750,1710,1020,1105,670,1085,685,880,570,1205,685
A4353,"Intermittent urinary catheter, with insertion supplies","INTERMITTENT URINARY CATHETER, WITH INSERTION SUPPLIES",2765,1500,4405,1730,4195,1910,4040,1920,4650,2145,5400,2390,6180,2510,4875,2295,2625,1480,1615,890,1615,870
A4354,Insertion tray with drainage bag but without catheter,INSERTION TRAY WITH DRAINAGE BAG BUT WITHOUT CATHETER,1870,1075,1305,830,950,550,1130,605,925,465,890,450,885,520,880,455,1100,580,840,505,940,490
A4355,"Irrigation tubing set for continuous bladder irrigation through a three-way indwelling Foley
catheter, each",IRRIGATION TUBING SET FOR CONTINUOUS BLADDER IRRIGATION THROUGH A THREE-WAY INDWELLING FOLEY CATHETE,540,415,1395,780,1300,910,865,540,1385,450,420,310,405,270,560,345,535,255,680,300,1020,370
A4356,"External urethral clamp or compression device (not to be used for catheter clamp), each","EXTERNAL URETHRAL CLAMP OR COMPRESSION DEVICE (NOT TO BE USED FOR CATHETER CLAMP), EACH",410,285,285,240,245,205,415,295,220,165,230,175,155,135,160,150,205,140,105,85,85,70
A4357,"Bedside drainage bag, day or night, with or without anti-reflux device, with or without tube,
each","BEDSIDE DRAINAGE BAG, DAY OR NIGHT, WITH OR WITHOUT ANTI-REFLUX DEVICE, WITH OR WITHOUT TUBE, EACH",4115,2710,3945,2630,5085,3140,5385,2955,4615,2625,4080,2400,4710,2655,5300,2755,4785,2570,4325,2360,3570,1980
A4358,"Urinary drainage bag, leg or abdomen, vinyl, with or without tube, with straps, each","URINARY DRAINAGE BAG, LEG OR ABDOMEN, VINYL, WITH OR WITHOUT TUBE, WITH STRAPS, EACH",16280,8700,15090,8345,15530,8510,16580,8780,14955,7785,15480,7855,16760,7985,18585,8265,16830,7965,13600,6225,12475,5740
A4361,"Ostomy faceplate, each","OSTOMY FACEPLATE, EACH",.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,30,.
A4362,"Skin barrier; solid, 4 x 4 or equivalent; each","SKIN BARRIER; SOLID, 4 X 4 OR EQUIVALENT; EACH",.,.,.,.,.,.,.,.,85,20,60,45,35,20,295,60,80,45,20,15,.,.
A4363,"OSTOMY CLAMP, ANY TYPE, REPLACEMENT ONLY, EACH","OSTOMY CLAMP, ANY TYPE, REPLACEMENT ONLY, EACH",0,0,0,0,.,.,0,0,0,0,.,.,.,.,0,0,0,0,.,.,0,0
A4364,"Adhesive, liquid or equal, any type, per ounce","ADHESIVE, LIQUID OR EQUAL, ANY TYPE, PER OUNCE",115,90,90,70,150,115,395,230,240,210,320,245,425,315,425,340,580,460,505,380,365,300
A4365,"ADHESIVE REMOVER WIPES, ANY TYPE, PER 50","ADHESIVE REMOVER WIPES, ANY TYPE, PER 50",.,.,25,25,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0
A4366,"OSTOMY VENT, ANY TYPE, EACH","OSTOMY VENT, ANY TYPE, EACH",0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,0,0,0,0,0,0
A4367,"Ostomy belt, each","OSTOMY BELT, EACH",.,.,0,0,0,0,.,.,0,0,0,0,.,.,.,.,.,.,15,15,.,.
A4368,"Ostomy filter, any type, each","OSTOMY FILTER, ANY TYPE, EACH",.,.,65,25,.,.,90,40,190,30,220,40,105,15,0,0,.,.,.,.,1070,20
A4369,"OSTOMY SKIN BARRIER, LIQUID (SPRAY, BRUSH, ETC), PER OUNCE","OSTOMY SKIN BARRIER, LIQUID (SPRAY, BRUSH, ETC), PER OUNCE",.,.,.,.,0,0,0,0,0,0,0,0,50,50,20,20,0,0,0,0,0,0
A4371,"OSTOMY SKIN BARRIER, POWDER, PER OUNCE","OSTOMY SKIN BARRIER, POWDER, PER OUNCE",0,0,.,.,0,0,0,0,0,0,.,.,35,30,0,0,0,0,.,.,0,0
A4372,"OSTOMY SKIN BARRIER, SOLID 4X4 OR EQUIVALENT, STANDARD WEAR, WITH BUILT-IN CONVEXITY, EACH","OSTOMY SKIN BARRIER, SOLID 4X4 OR EQUIVALENT, STANDARD WEAR, WITH BUILT-IN CONVEXITY, EACH",0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,.,.,0,0
A4373,"OSTOMY SKIN BARRIER, WITH FLANGE (SOLID, FLEXIBLE OR ACCORDION), WITH BUILT-IN CONVEXITY, ANY SIZE,","OSTOMY SKIN BARRIER, WITH FLANGE (SOLID, FLEXIBLE OR ACCORDION), WITH BUILT-IN CONVEXITY, ANY SIZE,",0,0,.,.,0,0,0,0,0,0,.,.,.,.,0,0,0,0,0,0,0,0
A4375,"Ostomy pouch, drainable, with faceplate attached, plastic, each","OSTOMY POUCH, DRAINABLE, WITH FACEPLATE ATTACHED, PLASTIC, EACH",0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.
A4376,"OSTOMY POUCH, DRAINABLE, WITH FACEPLATE ATTACHED, RUBBER, EACH","OSTOMY POUCH, DRAINABLE, WITH FACEPLATE ATTACHED, RUBBER, EACH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0
A4377,"Ostomy pouch, drainable, for use on faceplate, plastic, each","OSTOMY POUCH, DRAINABLE, FOR USE ON FACEPLATE, PLASTIC, EACH",0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,20,.
A4379,"OSTOMY POUCH, URINARY, WITH FACEPLATE ATTACHED, PLASTIC, EACH","OSTOMY POUCH, URINARY, WITH FACEPLATE ATTACHED, PLASTIC, EACH",0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0
A4380,"OSTOMY POUCH, URINARY, WITH FACEPLATE ATTACHED, RUBBER, EACH","OSTOMY POUCH, URINARY, WITH FACEPLATE ATTACHED, RUBBER, EACH",0,0,0,0,.,.,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0
A4381,"OSTOMY POUCH, URINARY, FOR USE ON FACEPLATE, PLASTIC, EACH","OSTOMY POUCH, URINARY, FOR USE ON FACEPLATE, PLASTIC, EACH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,0,0
A4382,"OSTOMY POUCH, URINARY, FOR USE ON FACEPLATE, HEAVY PLASTIC, EACH","OSTOMY POUCH, URINARY, FOR USE ON FACEPLATE, HEAVY PLASTIC, EACH",0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0
A4385,"OSTOMY SKIN BARRIER, SOLID 4X4 OR EQUIVALENT, EXTENDED WEAR, WITHOUT BUILT-IN CONVEXITY, EACH","OSTOMY SKIN BARRIER, SOLID 4X4 OR EQUIVALENT, EXTENDED WEAR, WITHOUT BUILT-IN CONVEXITY, EACH",.,.,0,0,20,20,0,0,0,0,.,.,.,.,0,0,0,0,0,0,0,0
A4387,"OSTOMY POUCH, CLOSED, WITH BARRIER ATTACHED, WITH BUILT-IN CONVEXITY (1 PIECE), EACH","OSTOMY POUCH, CLOSED, WITH BARRIER ATTACHED, WITH BUILT-IN CONVEXITY (1 PIECE), EACH",0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0
A4388,"OSTOMY POUCH, DRAINABLE, WITH EXTENDED WEAR BARRIER ATTACHED, (1 PIECE), EACH","OSTOMY POUCH, DRAINABLE, WITH EXTENDED WEAR BARRIER ATTACHED, (1 PIECE), EACH",.,.,0,0,.,.,.,.,0,0,0,0,20,15,90,35,95,45,60,25,0,0
A4390,"OSTOMY POUCH, DRAINABLE, WITH EXTENDED WEAR BARRIER ATTACHED, WITH BUILT-IN CONVEXITY (1 PIECE), EAC","OSTOMY POUCH, DRAINABLE, WITH EXTENDED WEAR BARRIER ATTACHED, WITH BUILT-IN CONVEXITY (1 PIECE), EAC",.,.,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,40,15,0,0
A4391,"OSTOMY POUCH, URINARY, WITH EXTENDED WEAR BARRIER ATTACHED (1 PIECE), EACH","OSTOMY POUCH, URINARY, WITH EXTENDED WEAR BARRIER ATTACHED (1 PIECE), EACH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0
A4392,"OSTOMY POUCH, URINARY, WITH STANDARD WEAR BARRIER ATTACHED, WITH BUILT-IN CONVEXITY (1 PIECE), EACH","OSTOMY POUCH, URINARY, WITH STANDARD WEAR BARRIER ATTACHED, WITH BUILT-IN CONVEXITY (1 PIECE), EACH",0,0,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4393,"OSTOMY POUCH, URINARY, WITH EXTENDED WEAR BARRIER ATTACHED, WITH BUILT-IN CONVEXITY (1 PIECE), EACH","OSTOMY POUCH, URINARY, WITH EXTENDED WEAR BARRIER ATTACHED, WITH BUILT-IN CONVEXITY (1 PIECE), EACH",0,0,0,0,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4394,"OSTOMY DEODORANT, WITH OR WITHOUT LUBRICANT, FOR USE IN OSTOMY POUCH, PER FLUID OUNCE","OSTOMY DEODORANT, WITH OR WITHOUT LUBRICANT, FOR USE IN OSTOMY POUCH, PER FLUID OUNCE",0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0
A4395,"Ostomy deodorant for use in ostomy pouch, solid, per tablet","OSTOMY DEODORANT FOR USE IN OSTOMY POUCH, SOLID, PER TABLET",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
A4396,OSTOMY BELT WITH PERISTOMAL HERNIA SUPPORT,OSTOMY BELT WITH PERISTOMAL HERNIA SUPPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4397,"Irrigation supply; sleeve, each","IRRIGATION SUPPLY; SLEEVE, EACH",0,0,.,.,1015,430,120,105,0,0,0,0,0,0,0,0,0,0,.,.,.,.
A4398,"Ostomy irrigation supply; bag, each","OSTOMY IRRIGATION SUPPLY; BAG, EACH",30,20,.,.,.,.,0,0,.,.,35,25,.,.,.,.,.,.,15,15,75,20
A4399,"OSTOMY IRRIGATION SUPPLY; CONE/CATHETER, INCLUDING BRUSH","OSTOMY IRRIGATION SUPPLY; CONE/CATHETER, INCLUDING BRUSH",0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4400,Ostomy irrigation set,OSTOMY IRRIGATION SET,0,0,.,.,0,0,.,.,25,25,25,15,.,.,0,0,0,0,0,0,.,.
A4402,"Lubricant, per ounce","LUBRICANT, PER OUNCE",3900,2295,6795,4670,7155,5140,6745,5080,7800,5800,6745,5240,6670,5010,6010,4585,4915,3500,3750,2980,3810,3000
A4405,"OSTOMY SKIN BARRIER, NON-PECTIN BASED, PASTE, PER OUNCE","OSTOMY SKIN BARRIER, NON-PECTIN BASED, PASTE, PER OUNCE",0,0,0,0,90,35,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4406,"Ostomy skin barrier, pectin-based, paste, per ounce","OSTOMY SKIN BARRIER, PECTIN-BASED, PASTE, PER OUNCE",.,.,.,.,60,20,.,.,.,.,35,15,.,.,0,0,.,.,0,0,.,.
A4407,"Ostomy skin barrier, with flange (solid, flexible, or accordion), extended wear, with built-in
convexity, 4 x 4 inches or smaller, each","OSTOMY SKIN BARRIER, WITH FLANGE (SOLID, FLEXIBLE, OR ACCORDION), EXTENDED WEAR, WITH BUILT-IN CONVE",.,.,.,.,.,.,0,0,.,.,0,0,0,0,.,.,.,.,.,.,15,.
A4409,"Ostomy skin barrier, with flange (solid, flexible or accordion), extended wear, without built-in
convexity, 4 x 4 inches or smaller, each","OSTOMY SKIN BARRIER, WITH FLANGE (SOLID, FLEXIBLE OR ACCORDION), EXTENDED WEAR, WITHOUT BUILT-IN CON",0,0,0,0,0,0,.,.,0,0,20,20,30,25,15,15,0,0,0,0,.,.
A4410,"OSTOMY SKIN BARRIER, WITH FLANGE (SOLID, FLEXIBLE OR ACCORDION), EXTENDED WEAR, WITHOUT BUILT-IN CON","OSTOMY SKIN BARRIER, WITH FLANGE (SOLID, FLEXIBLE OR ACCORDION), EXTENDED WEAR, WITHOUT BUILT-IN CON",0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4413,"OSTOMY POUCH, DRAINABLE, HIGH OUTPUT, FOR USE ON A BARRIER WITH FLANGE (2 PIECE SYSTEM), WITH FILTER","OSTOMY POUCH, DRAINABLE, HIGH OUTPUT, FOR USE ON A BARRIER WITH FLANGE (2 PIECE SYSTEM), WITH FILTER",.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4414,"OSTOMY SKIN BARRIER, WITH FLANGE (SOLID, FLEXIBLE OR ACCORDION), WITHOUT BUILT-IN CONVEXITY, 4 X 4 I","OSTOMY SKIN BARRIER, WITH FLANGE (SOLID, FLEXIBLE OR ACCORDION), WITHOUT BUILT-IN CONVEXITY, 4 X 4 I",.,.,0,0,.,.,0,0,0,0,.,.,0,0,.,.,0,0,0,0,0,0
A4415,"OSTOMY SKIN BARRIER, WITH FLANGE (SOLID, FLEXIBLE OR ACCORDION), WITHOUT BUILT-IN CONVEXITY, LARGER","OSTOMY SKIN BARRIER, WITH FLANGE (SOLID, FLEXIBLE OR ACCORDION), WITHOUT BUILT-IN CONVEXITY, LARGER",.,.,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,.,.,0,0
A4417,"OSTOMY POUCH, CLOSED, WITH BARRIER ATTACHED, WITH BUILT-IN CONVEXITY, WITH FILTER (1 PIECE), EACH","OSTOMY POUCH, CLOSED, WITH BARRIER ATTACHED, WITH BUILT-IN CONVEXITY, WITH FILTER (1 PIECE), EACH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0
A4419,"Ostomy pouch, closed; for use on barrier with non-locking flange, with filter (2 piece), each","OSTOMY POUCH, CLOSED; FOR USE ON BARRIER WITH NON-LOCKING FLANGE, WITH FILTER (2 PIECE), EACH",0,0,.,.,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,.,.
A4420,"Ostomy pouch, closed; for use on barrier with locking flange (2 piece), each","OSTOMY POUCH, CLOSED; FOR USE ON BARRIER WITH LOCKING FLANGE (2 PIECE), EACH",25,20,35,15,.,.,65,20,.,.,25,15,30,15,40,30,135,45,15,15,.,.
A4421,Ostomy supply; miscellaneous,OSTOMY SUPPLY; MISCELLANEOUS,550,280,305,190,430,175,250,150,265,145,70,55,40,35,310,165,225,165,.,.,15,.
A4422,"Ostomy absorbent material (sheet/pad/crystal packet) for use in ostomy pouch to thicken
liquid stomal output, each",OSTOMY ABSORBENT MATERIAL (SHEET/PAD/CRYSTAL PACKET) FOR USE IN OSTOMY POUCH TO THICKEN LIQUID STOMA,0,0,0,0,0,0,.,.,0,0,0,0,.,.,.,.,0,0,25,20,.,.
A4423,"OSTOMY POUCH, CLOSED; FOR USE ON BARRIER WITH LOCKING FLANGE, WITH FILTER (2 PIECE), EACH","OSTOMY POUCH, CLOSED; FOR USE ON BARRIER WITH LOCKING FLANGE, WITH FILTER (2 PIECE), EACH",0,0,0,0,0,0,0,0,.,.,0,0,0,0,.,.,0,0,0,0,0,0
A4425,"OSTOMY POUCH, DRAINABLE; FOR USE ON BARRIER WITH NON-LOCKING FLANGE, WITH FILTER (2 PIECE SYSTEM), E","OSTOMY POUCH, DRAINABLE; FOR USE ON BARRIER WITH NON-LOCKING FLANGE, WITH FILTER (2 PIECE SYSTEM), E",0,0,0,0,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0
A4426,"OSTOMY POUCH, DRAINABLE; FOR USE ON BARRIER WITH LOCKING FLANGE (2 PIECE SYSTEM), EACH","OSTOMY POUCH, DRAINABLE; FOR USE ON BARRIER WITH LOCKING FLANGE (2 PIECE SYSTEM), EACH",.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4427,"OSTOMY POUCH, DRAINABLE; FOR USE ON BARRIER WITH LOCKING FLANGE, WITH FILTER (2 PIECE SYSTEM), EACH","OSTOMY POUCH, DRAINABLE; FOR USE ON BARRIER WITH LOCKING FLANGE, WITH FILTER (2 PIECE SYSTEM), EACH",0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,0,0,0,0,0,0
A4428,"OSTOMY POUCH, URINARY, WITH EXTENDED WEAR BARRIER ATTACHED, WITH FAUCET-TYPE TAP WITH VALVE (1 PIECE","OSTOMY POUCH, URINARY, WITH EXTENDED WEAR BARRIER ATTACHED, WITH FAUCET-TYPE TAP WITH VALVE (1 PIECE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4429,"OSTOMY POUCH, URINARY, WITH BARRIER ATTACHED, WITH BUILT-IN CONVEXITY, WITH FAUCET-TYPE TAP WITH VAL","OSTOMY POUCH, URINARY, WITH BARRIER ATTACHED, WITH BUILT-IN CONVEXITY, WITH FAUCET-TYPE TAP WITH VAL",0,0,0,0,0,0,.,.,.,.,0,0,.,.,0,0,0,0,0,0,0,0
A4430,"OSTOMY POUCH, URINARY, WITH EXTENDED WEAR BARRIER ATTACHED, WITH BUILT-IN CONVEXITY, WITH FAUCET-TYP","OSTOMY POUCH, URINARY, WITH EXTENDED WEAR BARRIER ATTACHED, WITH BUILT-IN CONVEXITY, WITH FAUCET-TYP",0,0,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,.,.,0,0
A4432,"Ostomy pouch, urinary; for use on barrier with non-locking flange, with faucet-type tap with
valve (2 piece), each","OSTOMY POUCH, URINARY; FOR USE ON BARRIER WITH NON-LOCKING FLANGE, WITH FAUCET-TYPE TAP WITH VALVE (",0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.
A4450,"Tape, non-waterproof, per 18 square inches","TAPE, NON-WATERPROOF, PER 18 SQUARE INCHES",4660,2585,5130,3195,6385,4005,5455,3050,4425,2585,4970,3070,4705,2650,4145,2840,3445,2200,3355,2155,2415,1855
A4452,"Tape, waterproof, per 18 square inches","TAPE, WATERPROOF, PER 18 SQUARE INCHES",2320,1270,2370,1420,2680,1515,2340,1540,2645,1470,2560,1500,3430,1910,3325,1825,3745,1895,2645,1510,3275,1615
A4455,"Adhesive remover or solvent (for tape, cement or other adhesive), per ounce","ADHESIVE REMOVER OR SOLVENT (FOR TAPE, CEMENT OR OTHER ADHESIVE), PER OUNCE",60,45,195,55,365,100,165,105,360,145,205,85,175,125,410,220,305,165,190,80,60,35
